nohup: ignoring input
 16%|█▌        | 32/200 [7:45:18<40:42:30, 872.32s/it]epoch: 31	loss_full: 0.14983	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.668	mean IOU w/ bg: 0.625
 16%|█▋        | 33/200 [7:59:47<40:25:17, 871.36s/it]epoch: 32	loss_full: 0.14173	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.676	mean IOU w/ bg: 0.634
 17%|█▋        | 34/200 [8:14:18<40:09:58, 871.08s/it]epoch: 33	loss_full: 0.14209	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.676	mean IOU w/ bg: 0.634
 18%|█▊        | 35/200 [8:28:52<39:58:01, 872.01s/it]epoch: 34	loss_full: 0.13321	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.697	mean IOU w/ bg: 0.658
 18%|█▊        | 36/200 [8:43:21<39:40:54, 871.07s/it]epoch: 35	loss_full: 0.13012	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.692	mean IOU w/ bg: 0.652
 18%|█▊        | 37/200 [8:58:08<39:39:53, 876.03s/it]epoch: 36	loss_full: 0.13795	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.698	mean IOU w/ bg: 0.659
 19%|█▉        | 38/200 [9:12:42<39:23:38, 875.42s/it]epoch: 37	loss_full: 0.12263	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.668	mean IOU w/ bg: 0.625
 20%|█▉        | 39/200 [9:27:13<39:04:58, 873.91s/it]epoch: 38	loss_full: 0.12114	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.698	mean IOU w/ bg: 0.659
 20%|██        | 40/200 [9:41:43<38:47:44, 872.90s/it]epoch: 39	loss_full: 0.12084	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.710	mean IOU w/ bg: 0.673
 20%|██        | 41/200 [9:56:14<38:31:15, 872.17s/it]epoch: 40	loss_full: 0.11094	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.703	mean IOU w/ bg: 0.665
 21%|██        | 42/200 [10:10:43<38:14:46, 871.43s/it]epoch: 41	loss_full: 0.12153	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.655	mean IOU w/ bg: 0.610
 22%|██▏       | 43/200 [10:25:15<38:00:08, 871.39s/it]epoch: 42	loss_full: 0.10811	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.717	mean IOU w/ bg: 0.680
 22%|██▏       | 44/200 [10:39:49<37:47:43, 872.20s/it]epoch: 43	loss_full: 0.10257	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.733	mean IOU w/ bg: 0.698
 22%|██▎       | 45/200 [10:54:19<37:31:56, 871.72s/it]epoch: 44	loss_full: 0.10026	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.723	mean IOU w/ bg: 0.687
 23%|██▎       | 46/200 [11:08:50<37:16:21, 871.31s/it]epoch: 45	loss_full: 0.09731	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.714	mean IOU w/ bg: 0.676
 24%|██▎       | 47/200 [11:23:20<37:00:55, 870.95s/it]epoch: 46	loss_full: 0.10908	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.742	mean IOU w/ bg: 0.708
 24%|██▍       | 48/200 [11:37:48<36:44:16, 870.11s/it]epoch: 47	loss_full: 0.09155	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.735	mean IOU w/ bg: 0.701
 24%|██▍       | 49/200 [11:52:18<36:29:53, 870.16s/it]epoch: 48	loss_full: 0.08859	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.751	mean IOU w/ bg: 0.718
 25%|██▌       | 50/200 [12:06:52<36:18:19, 871.33s/it]epoch: 49	loss_full: 0.09040	loss_d: 0.00000	loss_semi: 0.00000	mean IOU: 0.727	mean IOU w/ bg: 0.691
 26%|██▌       | 51/200 [12:22:37<36:58:35, 893.40s/it]epoch: 50	loss_full: 0.10770	loss_d: 0.00000	loss_semi: 0.04065	mean IOU: 0.731	mean IOU w/ bg: 0.696
 26%|██▌       | 52/200 [12:38:42<37:36:36, 914.84s/it]epoch: 51	loss_full: 0.09993	loss_d: 0.00000	loss_semi: 0.04592	mean IOU: 0.743	mean IOU w/ bg: 0.709
 26%|██▋       | 53/200 [12:54:31<37:46:08, 924.96s/it]epoch: 52	loss_full: 0.10405	loss_d: 0.00000	loss_semi: 0.04351	mean IOU: 0.739	mean IOU w/ bg: 0.704
 27%|██▋       | 54/200 [13:10:16<37:45:21, 930.97s/it]epoch: 53	loss_full: 0.09248	loss_d: 0.00000	loss_semi: 0.04404	mean IOU: 0.747	mean IOU w/ bg: 0.714
 28%|██▊       | 55/200 [13:26:01<37:40:29, 935.37s/it]epoch: 54	loss_full: 0.09562	loss_d: 0.00000	loss_semi: 0.04319	mean IOU: 0.748	mean IOU w/ bg: 0.715
 28%|██▊       | 56/200 [13:41:47<37:32:19, 938.47s/it]epoch: 55	loss_full: 0.08937	loss_d: 0.00000	loss_semi: 0.04386	mean IOU: 0.743	mean IOU w/ bg: 0.710
 28%|██▊       | 57/200 [13:57:35<37:23:42, 941.42s/it]epoch: 56	loss_full: 0.08471	loss_d: 0.00000	loss_semi: 0.04479	mean IOU: 0.737	mean IOU w/ bg: 0.703
 29%|██▉       | 58/200 [14:13:34<37:20:20, 946.62s/it]epoch: 57	loss_full: 0.09528	loss_d: 0.00000	loss_semi: 0.04206	mean IOU: 0.737	mean IOU w/ bg: 0.703
 30%|██▉       | 59/200 [14:29:23<37:05:51, 947.17s/it]epoch: 58	loss_full: 0.08247	loss_d: 0.00000	loss_semi: 0.04069	mean IOU: 0.753	mean IOU w/ bg: 0.721
 30%|███       | 60/200 [14:45:11<36:51:10, 947.65s/it]epoch: 59	loss_full: 0.08007	loss_d: 0.00000	loss_semi: 0.03803	mean IOU: 0.750	mean IOU w/ bg: 0.717
 30%|███       | 61/200 [15:01:00<36:36:06, 947.96s/it]epoch: 60	loss_full: 0.07978	loss_d: 0.00000	loss_semi: 0.03662	mean IOU: 0.757	mean IOU w/ bg: 0.725
 31%|███       | 62/200 [15:16:49<36:21:19, 948.40s/it]epoch: 61	loss_full: 0.08254	loss_d: 0.00000	loss_semi: 0.03532	mean IOU: 0.759	mean IOU w/ bg: 0.727
 32%|███▏      | 63/200 [15:32:38<36:05:24, 948.35s/it]epoch: 62	loss_full: 0.07630	loss_d: 0.00000	loss_semi: 0.03439	mean IOU: 0.751	mean IOU w/ bg: 0.719
 32%|███▏      | 64/200 [15:48:24<35:48:29, 947.87s/it]epoch: 63	loss_full: 0.08404	loss_d: 0.00000	loss_semi: 0.03332	mean IOU: 0.763	mean IOU w/ bg: 0.732
 32%|███▎      | 65/200 [16:04:11<35:31:56, 947.53s/it]epoch: 64	loss_full: 0.07314	loss_d: 0.00000	loss_semi: 0.03170	mean IOU: 0.761	mean IOU w/ bg: 0.730
 33%|███▎      | 66/200 [16:19:58<35:15:35, 947.28s/it]epoch: 65	loss_full: 0.08361	loss_d: 0.00000	loss_semi: 0.03112	mean IOU: 0.760	mean IOU w/ bg: 0.728
